Year,Division,Number_of_Hospitals,Number_of_Beds,Crude_Birth_Rate,GDP_per_Capita_USD,Dengue_Cases,Beds_per_1000_Pop,Hospitals_per_100k_Pop,Avg_Beds_per_Hospital,Bed_Occupancy_Rate_Pct,Urban_Population_Pct,Area_km2,Population_Share_Pct,Tertiary_Hospitals,District_Hospitals,Upazila_Health_Complexes,Private_Clinics,Specialized_Hospitals,NGO_Facilities,Community_Health_Clinics,Diagnostic_Centers,Dengue_Rate_per_100k,Dengue_Category,Dengue_Waste_Adjustment,Birth_Rate_Category,GDP_Category,GDP_Growth_Pct,Waste_Mgmt_Coverage_Pct,Proper_Segregation_Pct,Facilities_with_Incinerator,Facilities_with_Autoclave,General_Waste_kg_day,Infectious_Waste_kg_day,Sharps_Waste_kg_day,Pharmaceutical_Waste_kg_day,Chemical_Waste_kg_day,Cytotoxic_Waste_kg_day,Pathological_Waste_kg_day,Radioactive_Waste_kg_day,Total_Hazardous_Waste_kg_day,Total_Medical_Waste_kg_day,Waste_per_Bed_kg_day,Hazardous_Waste_Pct
2000,Barisal,101.0,4024.0,26.13,428.3,119.0,473.412,118.82,39.8,64.0,12.0,13644.0,5.0,7.0,16.0,21.0,29.0,8.0,9.0,6.0,5.0,1.4,Low,1.0681,High,Low Income,0.0,31.8,44.1,3.0,6.0,4926.95,1613.27,138.75,61.38,50.64,28.26,129.4,2.186,2023.89,6950.85,1.7273,29.12
2001,Barisal,106.0,4301.0,25.86,427.7,53.0,506.0,124.71,40.6,59.1,12.3,13644.0,5.0,8.0,19.0,19.0,25.0,7.0,7.0,6.0,4.0,0.62,Low,1.0687,High,Low Income,2.32,31.8,44.1,9.0,7.0,4491.16,1394.14,119.32,82.68,40.94,29.68,147.16,6.115,1820.03,6311.19,1.4674,28.84
2002,Barisal,108.0,4216.0,25.08,446.2,160.0,496.0,127.06,39.0,88.4,12.5,13644.0,5.0,9.0,19.0,21.0,31.0,7.0,7.0,6.0,5.0,1.88,Low,1.0816,High,Low Income,1.41,32.3,44.4,9.0,6.0,7127.78,2313.02,210.23,94.96,123.7,52.93,220.68,5.317,3020.84,10148.62,2.4072,29.77
2003,Barisal,116.0,4552.0,24.06,492.6,66.0,535.529,136.47,39.2,87.3,12.8,13644.0,5.0,8.0,18.0,26.0,35.0,8.0,9.0,7.0,5.0,0.78,Low,1.065,High,Low Income,6.62,33.4,45.3,8.0,11.0,8301.59,2581.81,222.99,155.67,85.94,39.18,307.81,2.588,3395.98,11697.57,2.5698,29.03
2004,Barisal,121.0,4541.0,24.0,514.5,88.0,534.235,142.35,37.5,54.0,13.0,13644.0,5.0,8.0,22.0,26.0,32.0,9.0,8.0,6.0,6.0,1.04,Low,1.0709,High,Low Income,5.65,34.0,45.7,10.0,11.0,5253.0,1421.51,121.33,63.54,45.98,48.85,184.34,4.511,1890.06,7143.06,1.573,26.46
2005,Barisal,125.0,4861.0,22.94,571.2,64.0,571.882,147.06,38.9,40.4,13.3,13644.0,5.0,9.0,21.0,25.0,38.0,8.0,8.0,7.0,6.0,0.75,Low,1.0771,Medium-High,Low Income,10.06,35.3,46.8,5.0,13.0,3888.25,1077.61,94.79,58.86,54.68,27.48,116.61,4.854,1434.88,5323.13,1.0951,26.96
2006,Barisal,137.0,5024.0,22.48,597.6,60.0,591.059,161.18,36.7,82.0,13.6,13644.0,5.0,9.0,27.0,25.0,40.0,10.0,10.0,7.0,6.0,0.71,Low,1.0857,Medium-High,Low Income,7.48,36.0,47.3,5.0,11.0,8317.58,2460.04,226.58,120.1,121.11,33.55,271.93,6.645,3239.96,11557.53,2.3005,28.03
2007,Barisal,146.0,5559.0,22.95,648.6,67.0,654.0,171.76,38.1,86.5,13.8,13644.0,5.0,11.0,26.0,25.0,42.0,12.0,10.0,9.0,7.0,0.79,Low,1.0812,Medium-High,Lower Middle,8.46,37.2,48.3,7.0,15.0,8996.95,3188.08,268.33,162.24,91.82,47.83,292.3,1.672,4052.27,13049.22,2.3474,31.05
2008,Barisal,155.0,6190.0,22.45,666.6,224.0,728.235,182.35,39.9,86.2,14.1,13644.0,5.0,13.0,29.0,32.0,45.0,12.0,11.0,7.0,7.0,2.64,Low,1.0711,Medium-High,Lower Middle,3.35,37.7,48.6,13.0,11.0,10835.7,3499.12,310.12,213.73,178.82,82.38,261.43,9.175,4554.77,15390.47,2.4863,29.59
2009,Barisal,163.0,6042.0,21.88,781.4,135.0,710.824,191.76,37.1,64.2,14.3,13644.0,5.0,14.0,27.0,31.0,46.0,11.0,11.0,10.0,7.0,1.59,Low,1.0903,Medium-High,Lower Middle,11.63,40.4,50.8,7.0,8.0,8418.81,2546.0,213.66,128.87,126.52,47.36,214.99,2.613,3280.02,11698.83,1.9363,28.04
2010,Barisal,156.0,6014.0,20.44,841.9,139.0,707.529,183.53,38.6,36.2,14.6,13644.0,5.0,12.0,28.0,31.0,39.0,13.0,12.0,8.0,7.0,1.64,Low,1.0662,Medium-High,Lower Middle,10.92,41.8,51.9,11.0,10.0,4304.87,1338.79,120.39,58.42,41.92,19.16,112.42,5.074,1696.17,6001.04,0.9978,28.26
2011,Barisal,176.0,6638.0,20.93,882.0,359.0,780.941,207.06,37.7,65.3,14.9,13644.0,5.0,13.0,31.0,32.0,49.0,14.0,10.0,11.0,9.0,4.22,Low,1.0841,Medium-High,Lower Middle,6.78,42.8,52.7,9.0,24.0,7934.99,2461.32,226.59,170.22,128.04,57.93,239.86,4.528,3288.48,11223.47,1.6908,29.3
2012,Barisal,183.0,7310.0,19.84,997.2,242.0,860.0,215.29,39.9,43.5,15.1,13644.0,5.0,14.0,34.0,36.0,45.0,13.0,13.0,10.0,8.0,2.85,Low,1.085,Medium,Lower Middle,10.19,45.5,54.8,12.0,11.0,5963.26,2003.7,157.77,103.97,74.86,35.37,175.22,8.212,2559.09,8522.35,1.1658,30.03
2013,Barisal,191.0,7030.0,19.63,1042.0,48.0,827.059,224.71,36.8,80.9,15.4,13644.0,5.0,16.0,36.0,41.0,58.0,17.0,13.0,12.0,9.0,0.56,Low,1.0874,Medium,Lower Middle,5.15,46.6,55.6,7.0,16.0,12895.9,3436.24,325.27,164.93,215.47,99.53,276.67,10.628,4528.74,17424.64,2.4786,25.99
2014,Barisal,185.0,7004.0,19.92,1186.4,95.0,824.0,217.65,37.9,47.7,15.7,13644.0,5.0,13.0,33.0,32.0,50.0,14.0,13.0,11.0,9.0,1.12,Low,1.0801,Medium,Lower Middle,9.35,50.0,58.3,15.0,21.0,6509.48,2160.49,166.83,137.58,106.14,36.07,260.85,6.307,2874.27,9383.75,1.3398,30.63
2015,Barisal,216.0,9349.0,19.33,1152.8,65.0,1099.882,254.12,43.3,52.1,15.9,13644.0,5.0,16.0,35.0,42.0,61.0,16.0,14.0,11.0,11.0,0.76,Low,1.065,Medium,Lower Middle,-2.47,49.3,57.7,9.0,11.0,9282.49,2815.77,240.73,175.04,124.8,91.59,269.76,6.46,3724.14,13006.63,1.3912,28.63
2016,Barisal,207.0,9559.0,18.75,1288.2,165.0,1124.588,243.53,46.2,72.2,16.2,13644.0,5.0,15.0,39.0,44.0,60.0,18.0,14.0,11.0,11.0,1.94,Low,1.0866,Medium,Lower Middle,6.37,52.5,60.2,13.0,17.0,15733.62,4312.46,413.88,232.07,225.47,114.7,369.34,12.364,5680.3,21413.92,2.2402,26.53
2017,Barisal,219.0,8548.0,19.04,1473.7,82.0,1005.647,257.65,39.0,66.2,16.4,13644.0,5.0,16.0,40.0,47.0,52.0,18.0,14.0,13.0,11.0,0.96,Low,1.0934,Medium,Lower Middle,8.44,56.9,63.7,19.0,21.0,11230.33,3462.14,328.77,155.03,168.76,65.74,303.37,2.257,4486.06,15716.38,1.8386,28.54
2018,Barisal,220.0,10328.0,18.31,1619.6,286.0,1215.059,258.82,46.9,94.8,16.7,13644.0,5.0,17.0,42.0,40.0,59.0,17.0,11.0,14.0,10.0,3.36,Low,1.0898,Low,Middle Income,6.83,60.3,66.4,20.0,10.0,19622.22,5910.08,518.46,239.56,220.7,172.83,583.23,11.352,7656.22,27278.44,2.6412,28.07
2019,Barisal,244.0,9979.0,18.35,1925.0,2572.0,1174.0,287.06,40.9,81.4,17.0,13644.0,5.0,19.0,39.0,47.0,75.0,21.0,17.0,14.0,14.0,30.26,Moderate,1.0812,Low,Middle Income,13.37,67.5,72.0,9.0,31.0,15682.97,5055.75,450.68,290.42,175.89,107.49,377.83,3.195,6461.25,22144.22,2.2191,29.18
2020,Barisal,244.0,10382.0,17.71,2039.9,31.0,1221.412,287.06,42.5,67.2,17.2,13644.0,5.0,18.0,46.0,45.0,72.0,18.0,15.0,14.0,9.0,0.36,Low,1.0687,Low,Middle Income,9.91,70.2,74.1,13.0,13.0,14784.53,3953.57,363.18,308.06,123.86,89.01,447.24,4.039,5288.95,20073.49,1.9335,26.35
2021,Barisal,248.0,10458.0,18.05,2130.2,638.0,1230.353,291.76,42.2,83.4,17.5,13644.0,5.0,18.0,41.0,49.0,59.0,19.0,19.0,15.0,12.0,7.51,Low,1.0717,Low,Middle Income,8.63,72.3,75.8,15.0,10.0,16985.87,5318.17,425.18,252.56,276.83,138.88,395.69,11.229,6818.54,23804.42,2.2762,28.64
2022,Barisal,256.0,11104.0,17.75,2674.3,1486.0,1306.353,301.18,43.4,75.7,17.7,13644.0,5.0,21.0,43.0,55.0,67.0,21.0,16.0,14.0,12.0,17.48,Moderate,1.0762,Low,Upper Middle,20.09,85.1,85.8,16.0,35.0,19919.34,5545.24,434.27,297.48,168.08,103.52,381.25,14.507,6944.35,26863.69,2.4193,25.85
2023,Barisal,257.0,11410.0,16.03,2824.4,7910.0,1342.353,302.35,44.4,71.6,18.0,13644.0,5.0,24.0,48.0,51.0,72.0,18.0,18.0,17.0,12.0,93.06,Moderate,1.0788,Low,Upper Middle,5.07,88.6,88.6,14.0,26.0,16557.71,5289.09,476.69,355.8,194.06,142.04,517.86,9.374,6984.91,23542.63,2.0633,29.67
2000,Chattogram,357.0,13707.0,26.49,414.1,2039.0,403.147,105.0,38.4,71.0,28.0,33771.0,20.0,27.0,69.0,73.0,85.0,29.0,24.0,20.0,18.0,6.0,Moderate,1.0816,High,Low Income,0.0,33.9,45.4,26.0,33.0,18616.85,6295.64,551.8,228.95,189.64,130.92,467.44,7.119,7871.5,26488.36,1.9325,29.72
2001,Chattogram,392.0,13625.0,25.59,459.9,844.0,400.735,115.29,34.8,80.9,28.4,33771.0,20.0,31.0,72.0,82.0,106.0,31.0,27.0,23.0,18.0,2.48,Low,1.0771,High,Low Income,10.02,35.0,46.3,19.0,25.0,22618.61,6917.17,629.17,342.6,329.2,144.17,842.32,12.913,9217.54,31836.15,2.3366,28.95
2002,Chattogram,383.0,14329.0,24.54,438.1,2715.0,421.441,112.65,37.4,60.6,28.9,33771.0,20.0,32.0,62.0,73.0,111.0,27.0,28.0,22.0,18.0,7.99,Moderate,1.0968,High,Low Income,-0.43,34.6,45.9,18.0,48.0,17314.9,5412.55,475.98,339.48,271.12,82.6,542.32,14.359,7138.4,24453.3,1.7066,29.19
2003,Chattogram,419.0,15486.0,24.7,514.4,872.0,455.471,123.24,37.0,75.0,29.3,33771.0,20.0,30.0,73.0,95.0,123.0,31.0,30.0,27.0,22.0,2.56,Low,1.0603,High,Low Income,11.34,36.4,47.4,24.0,19.0,26316.45,7737.3,658.18,559.58,433.88,131.53,765.21,8.668,10294.35,36610.8,2.3641,28.12
2004,Chattogram,450.0,15651.0,24.11,539.8,1414.0,460.324,132.35,34.8,71.1,29.7,33771.0,20.0,35.0,86.0,100.0,131.0,36.0,28.0,24.0,21.0,4.16,Moderate,1.0798,High,Low Income,10.84,37.1,47.9,39.0,31.0,24730.84,6495.98,647.6,470.76,349.12,245.41,710.2,4.676,8923.76,33654.6,2.1503,26.52
2005,Chattogram,462.0,16021.0,24.03,576.2,866.0,471.206,135.88,34.7,70.2,30.2,33771.0,20.0,37.0,88.0,95.0,120.0,35.0,35.0,26.0,22.0,2.55,Low,1.0735,High,Low Income,11.02,38.0,48.6,42.0,58.0,23204.92,7262.7,677.4,478.96,373.77,129.97,841.07,7.117,9770.98,32975.91,2.0583,29.63
2006,Chattogram,487.0,18183.0,23.7,583.7,801.0,534.794,143.24,37.3,75.6,30.6,33771.0,20.0,40.0,85.0,100.0,136.0,42.0,33.0,25.0,26.0,2.36,Low,1.0808,High,Low Income,4.98,38.2,48.8,36.0,42.0,30710.4,8092.43,848.11,536.8,245.81,175.71,771.65,18.993,10689.49,41399.89,2.2768,25.82
2007,Chattogram,480.0,18971.0,23.1,665.6,888.0,557.971,141.18,39.5,32.6,31.0,33771.0,20.0,42.0,78.0,101.0,147.0,32.0,34.0,27.0,23.0,2.61,Low,1.0758,High,Lower Middle,11.3,40.2,50.3,23.0,34.0,13801.93,3180.25,326.57,237.57,196.92,77.95,322.58,11.657,4353.49,18155.43,0.957,23.98
2008,Chattogram,526.0,19680.0,23.36,742.0,3132.0,578.824,154.71,37.4,68.1,31.5,33771.0,20.0,43.0,108.0,108.0,151.0,41.0,40.0,34.0,24.0,9.21,Moderate,1.0693,High,Lower Middle,15.04,42.0,51.8,50.0,31.0,26703.67,8472.79,746.56,413.9,387.24,231.99,923.19,25.096,11200.76,37904.43,1.926,29.55
2009,Chattogram,564.0,19050.0,22.03,793.8,1751.0,560.294,165.88,33.8,30.9,31.9,33771.0,20.0,37.0,115.0,110.0,161.0,44.0,38.0,32.0,28.0,5.15,Moderate,1.082,Medium-High,Lower Middle,13.4,43.3,52.7,50.0,32.0,12083.58,3779.24,359.16,174.47,152.82,92.58,414.9,6.449,4979.63,17063.21,0.8957,29.18
2010,Chattogram,597.0,23051.0,20.8,823.0,2210.0,677.971,175.59,38.6,48.5,32.3,33771.0,20.0,51.0,111.0,130.0,151.0,54.0,46.0,37.0,34.0,6.5,Moderate,1.0735,Medium-High,Lower Middle,8.43,44.1,53.3,52.0,47.0,23517.5,6569.35,680.15,385.8,231.5,101.32,856.57,20.23,8844.92,32362.41,1.4039,27.33
2011,Chattogram,595.0,20690.0,20.58,953.1,5573.0,608.529,175.0,34.8,49.6,32.8,33771.0,20.0,42.0,95.0,122.0,182.0,45.0,36.0,36.0,31.0,16.39,Moderate,1.0909,Medium-High,Lower Middle,15.39,47.2,55.8,31.0,38.0,19521.3,7108.23,546.4,331.95,252.57,87.51,534.27,18.803,8879.72,28401.03,1.3727,31.27
2012,Chattogram,695.0,23919.0,20.62,1049.5,3819.0,703.5,204.41,34.4,49.7,33.2,33771.0,20.0,50.0,113.0,151.0,196.0,53.0,46.0,37.0,33.0,11.23,Moderate,1.0935,Medium-High,Lower Middle,15.97,49.5,57.6,55.0,63.0,25532.02,7843.42,668.62,539.47,322.07,120.12,936.45,24.269,10454.42,35986.44,1.5045,29.05
2013,Chattogram,674.0,25756.0,20.01,1064.0,654.0,757.529,198.24,38.2,88.6,33.7,33771.0,20.0,52.0,118.0,145.0,177.0,47.0,46.0,38.0,31.0,1.92,Low,1.0845,Medium-High,Lower Middle,7.37,49.9,57.9,38.0,48.0,47126.01,13705.26,1195.98,891.96,683.25,429.35,1559.19,35.7,18500.69,65626.69,2.548,28.19
2014,Chattogram,712.0,27419.0,19.28,1150.0,1265.0,806.441,209.41,38.5,55.4,34.1,33771.0,20.0,54.0,115.0,150.0,206.0,52.0,55.0,44.0,34.0,3.72,Moderate,1.0748,Medium,Lower Middle,5.99,51.9,59.5,46.0,92.0,29086.08,8821.64,851.75,513.64,432.16,246.3,675.21,28.708,11569.41,40655.49,1.4827,28.46
2015,Chattogram,770.0,28213.0,18.41,1219.9,1239.0,829.794,226.47,36.6,73.0,34.5,33771.0,20.0,60.0,120.0,144.0,226.0,68.0,52.0,48.0,32.0,3.64,Moderate,1.087,Low,Lower Middle,3.21,53.6,60.8,39.0,62.0,43152.22,12319.3,1121.8,912.78,440.74,188.98,1396.04,42.711,16422.35,59574.57,2.1116,27.57
2016,Chattogram,781.0,29843.0,18.85,1385.3,2317.0,877.735,229.71,38.2,85.4,35.0,33771.0,20.0,55.0,135.0,152.0,217.0,65.0,51.0,45.0,39.0,6.81,Moderate,1.0849,Medium,Lower Middle,14.39,57.6,63.9,32.0,35.0,52174.44,15462.6,1433.25,639.54,425.15,456.0,1227.36,20.453,19664.36,71838.8,2.4072,27.37
2017,Chattogram,789.0,31834.0,18.64,1572.7,955.0,936.294,232.06,40.3,80.7,35.4,33771.0,20.0,64.0,141.0,150.0,209.0,58.0,52.0,50.0,38.0,2.81,Low,1.0766,Medium,Middle Income,15.72,62.0,67.4,43.0,84.0,52796.44,14711.0,1404.96,927.3,732.0,389.08,1268.17,12.712,19445.23,72241.68,2.2693,26.92
2018,Chattogram,857.0,32323.0,18.31,1683.7,3010.0,950.676,252.06,37.7,42.1,35.8,33771.0,20.0,66.0,156.0,171.0,221.0,68.0,54.0,57.0,38.0,8.85,Moderate,1.0659,Low,Middle Income,11.06,64.7,69.5,49.0,85.0,25863.98,7901.13,735.39,383.63,382.4,178.97,919.02,10.516,10511.06,36375.03,1.1254,28.9
2019,Chattogram,894.0,36941.0,18.03,1916.8,40978.0,1086.5,262.94,41.3,79.5,36.3,33771.0,20.0,71.0,170.0,173.0,298.0,72.0,61.0,50.0,48.0,120.52,High,1.0898,Low,Middle Income,12.89,70.2,73.8,62.0,92.0,64850.06,17795.85,1878.7,1098.64,1008.06,555.07,1619.35,50.25,24005.91,88855.97,2.4053,27.02
2020,Chattogram,861.0,34756.0,17.61,1921.8,494.0,1022.235,253.24,40.4,62.2,36.7,33771.0,20.0,67.0,168.0,177.0,242.0,73.0,60.0,60.0,38.0,1.45,Low,1.078,Low,Middle Income,3.55,70.3,73.9,49.0,85.0,47522.91,13254.47,1134.9,847.21,447.39,289.84,1635.26,38.68,17647.75,65170.67,1.8751,27.08
2021,Chattogram,944.0,36305.0,17.41,2351.6,10410.0,1067.794,277.65,38.5,76.1,37.1,33771.0,20.0,78.0,160.0,185.0,274.0,78.0,60.0,61.0,51.0,30.62,High,1.0814,Low,Middle Income,19.92,80.4,81.8,86.0,90.0,58003.01,16818.05,1570.45,1169.86,928.78,280.18,1356.07,39.704,22163.08,80166.1,2.2081,27.65
2022,Chattogram,981.0,37218.0,17.34,2741.0,24551.0,1094.647,288.53,37.9,65.3,37.6,33771.0,20.0,80.0,177.0,209.0,290.0,76.0,70.0,58.0,45.0,72.21,High,1.0875,Low,Upper Middle,23.08,89.6,89.0,97.0,93.0,48600.6,14459.84,1480.59,624.82,862.49,214.14,1411.13,34.694,19087.7,67688.29,1.8187,28.2
2023,Chattogram,955.0,38895.0,16.86,2780.1,125368.0,1143.971,280.88,40.7,90.9,38.0,33771.0,20.0,73.0,196.0,225.0,280.0,76.0,65.0,55.0,52.0,368.73,Epidemic,1.0867,Low,Upper Middle,3.43,90.6,89.8,57.0,104.0,80391.85,22444.03,2065.11,1222.93,707.5,640.36,1815.68,38.325,28933.94,109325.79,2.8108,26.47
2000,Dhaka,749.0,30231.0,26.44,425.0,5088.0,573.643,142.13,40.4,69.0,50.0,20594.0,31.0,67.0,143.0,144.0,218.0,57.0,50.0,45.0,31.0,9.65,Moderate,1.0946,High,Low Income,0.0,37.4,47.8,69.0,36.0,41700.57,12363.07,1143.42,510.84,448.29,222.65,1416.56,32.832,16137.67,57838.24,1.9132,27.9
2001,Dhaka,802.0,31756.0,25.95,458.1,1813.0,602.581,152.18,39.6,72.5,51.0,20594.0,31.0,59.0,168.0,147.0,202.0,70.0,59.0,50.0,42.0,3.44,Moderate,1.077,High,Low Income,9.59,38.3,48.5,35.0,107.0,45466.32,13516.07,1285.53,898.41,467.87,190.62,1237.76,18.756,17615.02,63081.34,1.9864,27.92
2002,Dhaka,758.0,30871.0,25.51,483.0,4872.0,585.787,143.83,40.7,74.6,51.9,20594.0,31.0,59.0,120.0,148.0,207.0,47.0,52.0,44.0,40.0,9.24,Moderate,1.0807,High,Low Income,9.77,39.1,49.0,27.0,67.0,44325.79,13849.23,1177.02,900.55,490.91,192.71,1680.29,43.469,18334.18,62659.97,2.0297,29.26
2003,Dhaka,821.0,34916.0,24.48,472.4,2592.0,662.543,155.79,42.5,35.5,52.9,20594.0,31.0,67.0,153.0,171.0,238.0,69.0,63.0,50.0,43.0,4.92,Moderate,1.0833,High,Low Income,2.25,39.0,48.9,82.0,101.0,27275.51,7470.24,642.14,579.13,339.07,250.06,897.86,10.287,10188.78,37464.3,1.073,27.2
2004,Dhaka,863.0,34237.0,24.05,492.4,2718.0,649.658,163.76,39.7,43.8,53.8,20594.0,31.0,63.0,151.0,189.0,244.0,81.0,62.0,52.0,42.0,5.16,Moderate,1.0713,High,Low Income,1.11,39.6,49.4,48.0,48.0,29063.44,9713.97,885.47,410.71,309.58,279.0,1270.3,46.571,12915.6,41979.04,1.2261,30.77
2005,Dhaka,903.0,39745.0,23.12,580.3,2043.0,754.175,171.35,44.0,63.0,54.8,20594.0,31.0,67.0,163.0,165.0,193.0,74.0,67.0,43.0,41.0,3.88,Moderate,1.0805,High,Low Income,11.81,41.8,51.1,48.0,120.0,44321.49,14406.59,1376.43,964.53,713.92,411.68,1095.46,42.286,19010.89,63332.38,1.5935,30.02
2006,Dhaka,959.0,39428.0,23.52,591.0,1636.0,748.159,181.97,41.1,72.9,55.7,20594.0,31.0,76.0,178.0,167.0,244.0,69.0,67.0,65.0,56.0,3.1,Moderate,1.0767,High,Low Income,6.29,42.2,51.4,89.0,97.0,59318.24,15491.53,1361.38,887.2,550.05,386.91,1953.25,42.067,20672.39,79990.63,2.0288,25.84
2007,Dhaka,965.0,42244.0,22.5,670.6,1999.0,801.594,183.11,43.8,84.3,56.7,20594.0,31.0,81.0,171.0,182.0,298.0,85.0,64.0,49.0,52.0,3.79,Moderate,1.0793,Medium-High,Lower Middle,12.14,44.2,53.0,45.0,100.0,82521.14,20798.42,2121.5,1442.36,1400.56,698.29,1990.15,22.156,28473.43,110994.57,2.6275,25.65
2008,Dhaka,1018.0,43559.0,22.63,721.9,8638.0,826.546,193.17,42.8,53.6,57.7,20594.0,31.0,76.0,164.0,200.0,278.0,97.0,73.0,54.0,48.0,16.39,Moderate,1.0888,Medium-High,Lower Middle,11.92,45.5,54.0,31.0,95.0,45012.4,15900.39,1229.11,710.8,698.6,404.73,1392.98,14.349,20350.96,65363.36,1.5006,31.14
2009,Dhaka,1068.0,48101.0,21.22,762.5,3773.0,912.732,202.66,45.0,82.6,58.6,20594.0,31.0,93.0,195.0,204.0,310.0,77.0,78.0,66.0,52.0,7.16,Moderate,1.0821,Medium-High,Lower Middle,8.93,46.6,54.8,94.0,51.0,77315.86,22039.98,2158.37,1301.61,955.3,648.38,1856.31,56.161,29016.11,106331.97,2.2106,27.29
2010,Dhaka,1130.0,47658.0,20.71,873.0,4089.0,904.326,214.42,42.2,62.0,59.6,20594.0,31.0,83.0,213.0,202.0,336.0,83.0,74.0,59.0,54.0,7.76,Moderate,1.0632,Medium-High,Lower Middle,15.02,49.3,57.0,102.0,110.0,63327.32,18318.83,1729.78,1110.36,948.27,301.29,2227.78,39.035,24675.35,88002.67,1.8465,28.04
2011,Dhaka,1239.0,49786.0,21.27,868.7,8787.0,944.706,235.1,40.2,55.4,60.5,20594.0,31.0,94.0,197.0,300.0,322.0,88.0,90.0,72.0,59.0,16.67,Moderate,1.0666,Medium-High,Lower Middle,5.17,49.3,57.0,96.0,136.0,57676.29,16896.86,1415.43,869.53,893.38,427.68,1542.51,20.094,22065.49,79741.78,1.6017,27.67
2012,Dhaka,1234.0,57683.0,20.41,946.0,7698.0,1094.554,234.16,46.7,86.2,61.5,20594.0,31.0,99.0,213.0,244.0,341.0,101.0,90.0,73.0,63.0,14.61,Moderate,1.0876,Medium-High,Lower Middle,4.53,51.3,58.5,84.0,60.0,101341.61,29305.49,2579.95,2202.3,1427.77,550.87,2226.0,46.327,38338.72,139680.33,2.4215,27.45
